REGISTRO N§;FECHA;HORA;DESCRIPCION (Vehiculo / Moto);DOMINIO;MARCA;MODELO;COLOR;TIPO;CHASIS N§;MOTOR N§;LEVANTADO EN :;AGENTE DE PLAYA QUE RECIBIO;GRUA / CHOFER;INVENTARIO SI/NO;NUMERO DE RECLAMO ;FECHA;HORA;GRUA/CHOFER;ENTREGA AGENTE;NOTAS;CONTROL DE LEGALES;
23;09/03/2015;16:25;SI;AOO132;PEUGEOT;504;;PARTICULAR;S/D;S/D;OCAMPO 2750;HURTADO/PIZARRO;CABRERIZO;SI;;27/08/2015;17:15;FUENTES CACTYT;FUENTES;TRASLADO A HERRERA;;
24;10/03/2015;10:45;SI;CEV668;LAND ROVER;S/D;;PARTICULAR;S/D;S/D;CONCEPCION ARENAL 2569;MORENO/APES;MAIDANA;SI;;25/05/2015;13:00;AVALINO CACTYT;ACQUACALDA;TRASLADO A HERRERA;;
25;11/03/2015;12:30;SI;DDG539;CHRYSLER;S/D;;PARTICULAR;S/D;S/D;LEIVA Y RODNEY;MORENO/APES;DEPAOLA;SI;;;;;;;;
26;11/03/2015;12:30;SI;S/PLACA;S/D;S/D;;PARTICULAR;S/D;S/D;ROSETTI 839;MORENO/APES;CORNAGO;SI;;30/03/2015;11:00;MAIDANA (CACTYT);MORENO-PLATAS-APES;TRASLADO A HERRERA;;
27;11/03/2015;17:52;SI;DYJ333;FORD;ESCORT;;PARTICULAR;S/D;S/D;VERA 180;HURTADO/PIZARRO;CABRERIZO;SI;;25/05/2015;11:20;OSUNA CACTYT;ACUAQUALDA;TRASLADO A HERRERA;;
28;11/03/2015;18:40;SI;S/PLACA;S/D;S/D;;PARTICULAR;S/D;S/D;A.CERVANTES 1652;HURTADO/PIZARRO;LEIVA;SI;;14/05/2015;10:05;ACOSTA CACTYT;AYESTARAN;TRASLADO A HERRERA;;
29;12/03/2015;12:10;SI;VQP482;RENAULT;12;;PARTICULAR;S/D;S/D;C.A LOPEZ E -CONCORDIA Y AV.SAN MARTIN ;MORENO/APES;DEPAOLA;SI;;24/06/2015;12:30;MAIDANA (CACTYT);MORENO-PLATAS-APES;TRASLADO A HERRERA;;
30;13/03/2015;18:21;SI;C1045619;TOYOTA;CELICA;;PARTICULAR;S/D;S/D;OLAZABAL 4356;HURTADO/PIZARRO;CABRERIZO;SI;;25/06/2015;16:40;LEIVA CACTYT;PIZARRO;TRASLADO A HERRERA;;
31;14/03/2015;09:58;SI;AKB350;FORD;FIESTA;;PARTICULAR;S/D;S/D;SALGUERO 851;AMADEO;ARREYES;SI;;29/07/2015;10:55;MAIDANA (CACTYT);CARRILLO/PLATAS;TRASLADO A HERRERA;;
32;14/03/2015;12:02;SI;VVR720;FORD;TAUNUS;;PARTICULAR;S/D;S/D;CONDARCO 1422;AMADEO;BARROCA;SI;;17/06/2015;11:00;DOMINGUEZ (CACTYT);MORENO-PLATAS;TRASLADO A HERRERA;;
33;16/03/2015;12:15;SI;S/PLACA;S/D;S/D;;PARTICULAR;S/D;S/D;C.A LOPEZ E -CONCORDIA Y AV.SAN MARTIN ;MORENO/APES;DEPAOLA;SI;;19/04/2015;11:33;ARREYES -FTPd782;AMADEO;TRASLADO A HERRERA;;
34;17/03/2015;12:10;SI;TUZ851;RENAULT;19;;PARTICULAR;S/D;S/D;N.YORK 2343;MORENO/APES;MAIDANA;SI;;16/06/2015;11:00;DOMINGUEZ (CACTYT);MORENO-PLATAS;TRASLADO A HERRERA;;
35;18/03/2015;11:00;SI;VUS670;PEUGEOT;505;;PARTICULAR;S/D;S/D;FRANCISCO DE UZAL 2555;MORENO/APES;MAIDANA;SI;;16/06/2015;10:30;DOMINGUEZ (CACTYT);MORENO-PLATAS;TRASLADO A HERRERA;;
36;18/03/2015;12:15;SI;S/PLACA;HONDA;ACCORD;;PARTICULAR;S/D;S/D;GURRUCHAGA Y WARNES;MORENO/APES;ARCE;SI;;11/04/2015;09:01;ARREYES;AMADEO;TRASLADO A HERRERA;;
37;18/03/2015;16:21;SI;VWI071;LADA;1600;;PARTICULAR;S/D;S/D;GUAYRA 2328;HURTADO/PIZARRO;CABRERIZO;SI;;15/06/2015;10:50;BARRIONUEVO (GRUA: NTN 852);PLATAS;TRASLADO A HERRERA;;
38;19/03/2015;08:53;SI;S/PLACA;RENAULT;6;;PARTICULAR;S/D;S/D;MURGUIONDO Y PATRON;MORENO/APES;DEPAOLA;SI;;12/04/2015;08:54;CORRAL FTPd782;AMADEO;TRASLADO A HERRERA;;
39;19/03/2015;10:48;SI;S/PLACA;FIAT;S/D;;PARTICULAR;S/D;S/D;IRALA Y PILCOMAYO;MORENO/APES;MAIDANA;SI;;17/07/2015;16:31;FUENTES CACTYT ;PIZARRO/HURTADO;TRASLADO A HERRERA;;
40;19/03/2015;10:49;SI;S/PLACA;S/D;S/D;;PARTICULAR;S/D;S/D;MURGUIONDO Y PATRON;MORENO/APES;DEPAOLA;SI;;19/04/2015;12:10;BARROCA NTN845;AMADEO;TRASLADO A HERRERA;;
41;20/03/2015;07:40;SI;S/PLACA;PEUGEOT;504;;PARTICULAR;S/D;S/D;PILCOMAYO 1100;MORENO/APES;DEPAOLA;SI;;04/06/2015;17:07;TAPIA (CACTYT);HURTADO;TRASLADO A HERRERA;;
42;20/03/2015;11:40;SI;S/PLACA;FIAT;128;;PARTICULAR;S/D;S/D;MONTENEGRO Y LEIVA;MORENO/APES;MAIDANA;SI;;12/04/2015;09:07;ARREYES NTN845;AMADEO;TRASLADO A HERRERA;;
43;20/03/2015;12:15;SI;S/PLACA;FIAT;147;;PARTICULAR;S/D;S/D;PILCOMAYO 1100;MORENO/APES;DOMINGUEZ;SI;;12/04/2015;10:45;CORRAL FTPd782;AMADEO;TRASLADO A HERRERA;;
44;20/03/2015;16:00;SI;S/PLACA;FIAT;UNO;;PARTICULAR;S/D;S/D;PILCOMAYO 1015;PIZARRO/AYESTARAN;CABRERIZO;SI;;12/04/2015;09:58;ARREYES FTPd782;AMADEO;TRASLADO A HERRERA;;
45;20/03/2015;17:42;SI;BWD257;FORD;FIESTA;;PARTICULAR;S/D;S/D;ECUADOR 214;PIZARRO/AYESTARAN;SANTOLI;SI;;16/06/2015;10:40;DOMINGUEZ (CACTYT);MORENO-PLATAS;TRASLADO A HERRERA;;
46;21/03/2015;12:40;SI;TSV114;CITROEN;3CV;;PARTICULAR;S/D;S/D;JORGE NEWBERY 3505;CALDERON/AQCUACALDA;DOMINGUEZ;SI;;16/06/2015;17:30;CABRERIZO (CACTYT);HURTADO;TRASLADO A HERRERA;;
47;22/03/2015;14:00;SI;TWK042;RENAULT;18;;PARTICULAR;S/D;S/D;S/D;AQCUACALDA;CORRAL;SI;;05/04/2015;09:28;;AMADEO;RUEDAS JUAN GRUA FTL216 -LOPEZ MARCELO (A);;
48;23/03/2015;20:05;SI;S/PLACA;FIAT;600;;PARTICULAR;S/D;S/D;STA MAGDALENA 400;GRACIANO;LOPARDO;SI;;14/05/2015;11:20;DE PAOLA CACTYT;AYESTARAN;TRASLADO A HERRERA;;
49;23/03/2015;20:15;SI;S/PLACA;VW;SENDA;;PARTICULAR;S/D;S/D;STA MAGDALENA 400;GRACIANO;LOPARDO;SI;;13/05/2015;17:30;LEYVA CACTYT;PIZARRO;TRASLADO A HERRERA;;
50;23/03/2015;20:55;SI;S/PLACA;RENAULT;4;;PARTICULAR;S/D;S/D;STA MAGDALENA 400;GRACIANO;CAVALLO;SI;;13/05/2015;18:00;LEIVA CACTYT;PIZARRO;TRASLADO A HERRERA;;
51;23/03/2015;20:56;SI;S/PLACA;RENAULT;18;;PARTICULAR;S/D;S/D;STA MAGDALENA 400;GRACIANO;LOPARDO;SI;;19/04/2015;11:21;BARROCA NTN845;AMADEO;TRASLADO A HERRERA;;
52;24/03/2015;11:30;SI;S/PLACA;RENAULT;19;;PARTICULAR;S/D;S/D;CUCHACUCHA 2172;AQCUACALDA;CORRAL;SI;;03/06/2015;17:00;TAPIA (CACTYT);PIZARRO;TRASLADO A HERRERA;;
53;25/03/2015;13:11;SI;S/PLACA;FORD;FALCON;;PARTICULAR;S/D;S/D;HEREDIA 439;MORENO/APES;ARCE;SI;;04/06/2015;16:28;TAPIA (CACTYT);HURTADO;TRASLADO A HERRERA;;
54;26/03/2015;S/D;SI;BFI081;VW;QUANTUM;;PARTICULAR;S/D;S/D;MIGUELTES Y J.HERNANDEZ;MORENO/APES;DOMINGUEZ;SI;;24/06/2015;16:05;LEIVA CACTYT;PIZARRO-HURTADO;TRASLADO A HERRERA;;
55;26/03/2015;16:06;SI;S/PLACA;PEUGEOT;504;;PARTICULAR;S/D;S/D;COCHABAMBA 1300;HURTADO/PIZARRO;ARIOLA;SI;;03/06/2015;16:00;TAPIA CACTYT;PIZARRO;TRASLADO A HERRERA;;
56;26/03/2015;18:10;SI;CBM 885;DAEWOO;LAMAS;;PARTICULAR;S/D;S/D;J.HERNANDEZ 2791;HURTADO/PIZARRO;TAPIA;SI;;21/07/2015;17:02;LEIVA CACTYT;PIZARRO/BERARDI;TRASLADO A HERRERA;;
57;27/03/2015;10:45;SI;BZP 915;RENAULT;19;;PARTICULAR;S/D;S/D;HEREDIA 2100;MORENO/APES;DOMINGUEZ;SI;;23/06/2015;16:20;LEIVA CACTYT;PIZARRO;TRASLADO A HERRERA;;
58;27/03/2015;14:01;SI;VFT023;MAZDA;323;;PARTICULAR;S/D;S/D;BULNES 2249;HURTADO/PIZARRO;VANESKEHEIAN;SI;;24/06/2015;16:45;LEIVA CACTYT;HURTADO;TRASLADO A HERRERA;;
59;27/03/2015;15:33;SI;CLR010;FIAT;MAREA;;PARTICULAR;S/D;S/D;GEPO 1818;HURTADO/PIZARRO;TAPIA;SI;;23/06/2015;10:55;DOMINGUEZ;MORENO/PLATAS/APES;TRASLADO A HERRERA;;
60;27/03/2015;17:45;SI;TTD538;FORD;SIERRA;;PARTICULAR;S/D;S/D;J.F SEGUI 3607;HURTADO/PIZARRO;MANGO;SI;;03/11/2015;11:00;SICA(CACTYT);CARRILLO/PLATAS/APES;TRASLADO A HERRERA;;
61;27/03/2015;23:30;SI;S/PLACA;ALFA ROMEO;146;;PARTICULAR;S/D;S/D;AV.S.MARTIN Y PAREJA;LIETS;AGUILERA;SI;;22/04/2015;10:50;;PLATAS-MORENO-APES;GIBELLINI MARECELO O. (A)20614336;;
62;30/03/2015;11:05;SI;AQP914;RENAULT;21;;PARTICULAR;S/D;S/D;S/D;MORENO/APES;MAIDANA;SI;;06/04/2015;15:20;;PIZARRO-HURTADO;MARECELA TERESA GONZALEZ 17717531(T) GRUA ICKt942;;
63;30/03/2015;11:05;SI;S/PLACA;CHEVROLET;CORSA;;PARTICULAR;S/D;S/D;ARTIGAS 3178;MORENO/APES;DEPAOLA;SI;;28/05/2015;18:00;LEIVA CACTYT;PIZARRO-HURTADO;TRASLADO A HERRERA;;
64;30/03/2015;11:50;SI;TVS042;RENAULT;11;;PARTICULAR;S/D;S/D;BOLIVIA 1800;PLATAS/MORENO;DOMINGUEZ;SI;;07/05/2015;08:20;GRUA PRIVADA;MORENO/PLATAS;MERENGONE GERARDO(T)11361906;;
65;30/03/2015;18:10;SI;AYP716;CITROEN;C15;;PARTICULAR;S/D;S/D;B.ENCALADA 4300;LIETS;TAPIA;SI;;28/07/2015;10:49;ACOSTA;CARRILLO/PLATAS/APES;TRASLADO A HERRERA;;
66;01/04/2015;11:10;SI;TST943;VW;1500;;PARTICULAR;S/D;S/D;GUIDO 2610;MORENO/APES/PLATAS;GRECO;SI;;22/07/2015;17:10;VANESKEHEIAN;PIZARRO;TRASLADO A HERRERA;;
67;01/04/2015;13:00;SI;S/PLACA;RENAULT;CLIO;;PARTICULAR;S/D;S/D;QUITO 4000;MORENO/APES/PLATAS;GRECO;SI;;28/05/2015;12:15;DOMINGUEZ CACTYT;MORENO;TRASLADO A HERRERA;;
68;04/04/2015;12:09;SI;RLE700;FORD;TAUNUS;;PARTICULAR;S/D;S/D;F.SARMIENTO 1443;AMADEO;BARROCA;SI;;21/07/2015;17:30;LEIVA CACTYT;PIZARRO/BERARDI;TRASLADO A HERRERA;;
69;06/04/2015;10:30;SI;BZO100;VW;GOL;;PARTICULAR;S/D;S/D;AGUIRRE 722;MORENO/APES/PLATAS;ARCE;SI;;22/07/2015;18:00;VANESKEHEIAN;PIZARRO/LIETS;TRASLADO A HERRERA;;
70;06/04/2015;11:20;SI;WRO267;VW;1500;;PARTICULAR;S/D;S/D;HEREDIA 180;MORENO/APES/PLATAS;ACOSTA;SI;;;;;;;;
71;06/04/2015;12:15;SI;DKM299;RENAULT;19;;PARTICULAR;S/D;S/D;G. DE LA FERRERE 2418;MORENO/APES/PLATAS;ARCE;SI;;23/06/2015;16:44;LEIVA CACTYT ;PIZARRO;TRASLADO A HERRERA;;
72;06/04/2015;12:50;SI;UEE628;RENAULT;12;;PARTICULAR;S/D;S/D;ARAUJO 2146;MORENO/APES/PLATAS;MAIDANA;SI;;16/06/2015;16:00;CABRERIZO (CACTYT);HURTADO;TRASLADO A HERRERA;;
73;06/04/2015;16:31;SI;S/PLACA;PEUGEOT;504;;PARTICULAR;S/D;S/D;VIRREY LORETO 3202;HURTADO;COBRERIZO;SI;;03/06/2015;15:30;TAPIA (CACTYT);PIZARRO;TRASLADO A HERRERA;;
74;06/04/2015;19:02;SI;S/PLACA;;;;PARTICULAR;S/D;S/D;L. DE LA TORRE 1946;HURTADO;SANTOLI;SI;;S/D;;;;TRASLADO A HERRERA;;
75;07/04/2015;00:15;SI;WCZ025;FORD;GALAXY;;PARTICULAR;S/D;S/D;EMILIO MITRE AL 800;LIETS;VELAZQUEZ;SI;;15/09/2015;19:29;LEIVA CACTYT;PIZARRO;TRASLADO A HERRERA;;
76;07/04/2015;09:45;SI;S/PLACA;TOYOTA;COROLLA;;PARTICULAR;S/D;S/D;GUARDIA NACIONAL 984;MORENO/APES/PLATAS;MAIDANA;SI;;S/D;18:45;MAIDANA CACTYT;PIZARRO;TRASLADO A HERRERA;;
77;07/04/2015;10:00;SI;S/PLACA;FORD;FALCON;;PARTICULAR;S/D;S/D;MUNIZ Y GIMSON;MORENO/APES/PLATAS;ACOSTA;SI;;S/D;11:00;MAIDANA CACTYT;MORENO/PLATAS/APES;TRASLADO A HERRERA;;
78;07/04/2015;12:20;SI;TUE186;PEUGEOT;505;;PARTICULAR;S/D;S/D;PALPA 2816;MORENO/APES/PLATAS;MAIDANA;SI;;25/06/2015;16:30;LEIVA CACTYT;PIZARRO;TRASLADO A HERRERA;;
79;07/04/2015;17:26;SI;S/PLACA;RENAULT;CLIO;;PARTICULAR;S/D;S/D;MURGUIONDO Y ACASSUSO;HURTADO;ARRIOLA;SI;;S/D;18:40;LEIVA CACTYT;PIZARRO;TRASLADO A HERRERA;;
80;07/04/2015;18:55;SI;S/PLACA;FORD;ESCORT;;PARTICULAR;S/D;S/D;CASTRO 1807;PIZARRO;TAPIA;SI;;S/D;10:55;DOMINGUEZ CACTYT;MORENO/PLATAS/APES;TRASLADO A HERRERA;;
81;08/04/2015;10:05;SI;AUV244;ALFA ROMEO;145;;PARTICULAR;S/D;S/D;YERBAL 5100;MORENO/PLATAS;ACOSTA;SI;;27/10/2015;10:00;DE PAOLA;CARRILLO /PLATAS/APES;TRASLADO A HERRERA;;
82;08/04/2015;11:50;SI;WUV071;FORD;TAUNUS;;PARTICULAR;S/D;S/D;CHASCOMUS Y FONROUGE;MORENO/PLATAS;DEPAOLA;SI;;22/07/2015;17:00;MANGO CACTYT;PIZARRO;TRASLADO A HERRERA;;
83;08/04/2015;12:50;SI;VNF414;FORD;SIERRA;;PARTICULAR;S/D;S/D;MAZA Y AGRELO;MORENO/PLATAS;ACOSTA;SI;;16/04/2015;12:50;;PLATAS-MORENO-APES;MEDINA AGUSTIN HUGO (T) 7780830;;
84;08/04/2015;15:05;SI;VKS064;PEUGEOT;505;;PARTICULAR;S/D;S/D;CASTA¥ON 900;PIZARRO;FUENTES;SI;;26/10/2015;18:00;SANTOLLI CACTYT;HURTADO/PIZARRO/AYESTARAN;TRASLADADO A HERRERA;;
85;08/04/2015;16:45;SI;S/PLACA;HYUNDAI;ACCENT;;PARTICULAR;S/D;S/D;BAEZ 962;HURTADO;COBRERIZO;SI;;20/05/2015;09:40;MAIDANA CACTYT;MORENO/PLATAS/AYESTARAN;TRASLADO A HERRERA;;
86;08/04/2015;17:31;SI;S/PLACA;;;;PARTICULAR;S/D;S/D;POLA Y PIZARRO;HURTADO/PIZARRO;LEIVA;SI;;14/05/2015;11:10;ACOSTA CACTYT;MORENO/PLATAS/AYESTARAN;TRASLADO A HERRERA;;
87;08/04/2015;19:10;SI;S/PLACA;RENAULT;21;;PARTICULAR;S/D;S/D;ALBERDI 4442;HURTADO/PIZARRO;LEIVA;SI;;14/05/2015;10:10;MAIDANA CACTYT;MORENO/PLATAS/AYESTARAN;TRASLADO A HERRERA;;
88;08/04/2015;19:48;SI;S/PLACA;PEUGEOT;504;;PARTICULAR;S/D;S/D;OLIDEN 2941;HURTADO/PIZARRO;CAMINO;SI;;14/05/2015;11:20;DE PAOLA CACTYT;MORENO/PLATAS/AYESTARAN;TRASLADO A HERRERA;;
89;08/04/2015;23:55;SI;VYV159;VW;GACEL;;PARTICULAR;S/D;S/D;S/D;LIETS;VELAZQUEZ;SI;;22/05/2015;11:45;GRUA PRIVADA;MORENO/PLATAS/AYESTARAN;BURGOS MARTIN DIEGO(T)22548060;;
90;09/04/2015;09:45;SI;XFL899;RENAULT;12;;PARTICULAR;S/D;S/D;FRAY CAYETANO 519;MORENO/PLATAS;MAIDANA;SI;;24/07/2015;17:55;CABRERIZO CACTYT;BERARDI/PIZARRO;TRASLADO A HERRERA;;
91;09/04/2015;10:00;SI;TBT055;TOYOTA;COROLLA;;PARTICULAR;S/D;S/D;BERUTI;MORENO/PLATAS;ACOSTA;SI;;24/07/2015;17:20;CABRERIZO CACTYT;BERARDI/PIZARRO;TRASLADO A HERRERA;;
92;09/04/2015;15:31;SI;S/PLACA;PEUGEOT;405;;PARTICULAR;S/D;S/D;WAM 17134;HURTADO/PIZARRO;TAPIA;SI;PENDIENTE;S/D;;;;PENDIENTE SANDRA (MORENO);;***
93;09/04/2015;15:39;SI;VRI759;FIAT;REGATTA;;PARTICULAR;S/D;S/D;S/D;HURTADO/PIZARRO;FUENTES;SI;;26/10/2015;18:03;PEREZ CACTYT;AYESTARAN/PIZARRO/HURTADO;TRASLADO A HERRERA;;
94;09/04/2015;17:17;SI;DHE099;RENAULT;19;;PARTICULAR;S/D;S/D;PARSANA 1546;HURTADO/PIZARRO;CABRERIZO;SI;;26/10/2015;16:35;FUENTES (CACTYT);AYESTARAN/PIZARRO/HURTADO;TRASLADO A HERRERA;;
95;09/04/2015;17:28;SI;XKL436;DODGE;POLARA;;PARTICULAR;S/D;S/D;CESAR DIAZ 5600;HURTADO/PIZARRO;FUENTES;SI;;05/08/2015;11:41;;CARRILLO/PALTAS/APES     ;RODRIGUEZ HUGO H.(T) 27152560;;
96;09/04/2015;18:26;SI;S/PLACA;HONDA;CIVIC;;PARTICULAR;S/D;S/D;ESCALADA DE SAN MARTIN 557;HURTADO/PIZARRO;ARRIOLA;SI;PENDIENTE ;S/D;;;;PENDIENTE SANDRA (MORENO);;***
97;09/04/2015;18:58;SI;S/PLACA;;;;PARTICULAR;S/D;S/D;P.PUEYREDON 4133;HURTADO/PIZARRO;CAMINO;SI;;14/05/2015;9.00;ACOSTA CACTYT;PLATAS/AYESTARAN/MORENO;TRASLADO A HERRERA;;
98;09/04/2015;20:46;SI;DBO520;TATA;SUMO;;PARTICULAR;S/D;S/D;VIEL Y SE¥ARTU;HURTADO/PIZARRO;LEIVA;SI;;24/06/2015;17:45;LEIVA CACTYT;PIZARRO-GATICA;TRASLADO A HERRERA;;
99;10/04/2015;09:30;SI;UXE760;MAZDA;MPU;;PARTICULAR;S/D;S/D;SOLER 4796;MORENO/APES/PLATAS;DOMINGUEZ;SI;;24/06/2015;16:30;GRUA RYM ASISTENCIA - ACV 729;GATICA;RETIRA TITULAR MARQUES DIEGO 22653722;;
0;10/04/2015;11:30;SI;HFK309;CHEVROLET;CORSA;;PARTICULAR;S/D;S/D;BEUCHEF 1744;MORENO/APES/PLATAS;DOMINGUEZ;SI;;27/10/2015;10:00;SICA (CACTYT);CARRILLO/PLATAS/APES;TRASLADO A HERRERA;;
101;10/04/2015;17:10;SI;S/PLACA;FIAT;MAREA;;PARTICULAR;S/D;S/D;AV.GARAY Y SANCHEZ DE LORIA;HURTADO/PIZARRO;TAPIA;SI;;18/05/2015;11:50;ACOSTA CACTYT;MORENO-PLATAS;TRASLADO A HERRERA;;
102;10/04/2015;18:29;SI;S/PLACA;;;BLANCO;PARTICULAR;S/D;S/D;CASEROS Y V.SARFIEL ;HURTADO/PIZARRO;TAPIA;SI;;15/05/2015;12:30;ACOSTA CACTYT;MORENO-PLATAS-AYESTARAN;TRASLADO A HERRERA;;
103;10/04/2015;18:50;SI;TKL981;DAIHATSU;1000;;PARTICULAR;S/D;S/D;VIDELA 4200;HURTADO/PIZARRO;LEIVA;SI;PARA COMPACTAR;04/08/2015;17:14;CABRERIZO CACTYT;PIZARRO;TRASLADO A HERRERA;;
104;10/04/2015;20:30;SI;UOX647;FORD;FALCON;;PARTICULAR;S/D;S/D;S/D;HURTADO/PIZARRO;ARRIOLA;SI;PARA COMPACTAR;11/08/2015;16:30;VANESKEHEIAN;PIZARRO/HURTADO;TRASLADO A HERRERA;;
105;13/04/2015;10:15;SI;VRS303;DODGE;1500;;PARTICULAR;S/D;S/D;GALICIA 1188;MORENO/APES/PLATAS;SICA;SI;;24/07/2015;16:30;CABRERIZO CACTYT;BERARDI/PIZARRO;TRASLADO A HERRERA;;
